SKU_ID,Lag_Period,Model,ARIMA_Order,Seasonal_Order,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal
1,1,ARIMA,"(2, 1, 1)","(1, 0, 1, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,857.02,71.868,71.868,9.153,100.0,8.753,1.0
2,1,ARIMA,"(3, 1, 0)","(0, 0, 1, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,836.64,19.289,19.289,2.36,100.0,2.332,1.0
3,1,ARIMA,"(2, 1, 1)","(2, 0, 0, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,652.57,47.453,47.453,7.842,100.0,7.546,1.0
4,1,ARIMA,"(0, 1, 3)","(2, 0, 0, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,902.35,3.582,3.582,0.399,100.0,0.398,1.0
5,1,ARIMA,"(3, 1, 0)","(0, 0, 1, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,818.53,28.991,28.991,3.672,100.0,3.606,1.0
6,1,ARIMA,"(1, 1, 2)","(1, 0, 0, 12)",64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,
7,1,ARIMA,"(3, 1, 1)","(1, 0, 1, 12)",64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,
8,1,ARIMA,"(3, 1, 0)","(0, 0, 0, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,824.21,51.881,51.881,6.718,100.0,6.499,1.0
9,1,ARIMA,"(2, 1, 1)","(1, 0, 1, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,824.14,60.74,60.74,7.956,100.0,7.652,1.0
10,1,ARIMA,"(0, 1, 3)","(1, 0, 0, 12)",64,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,89.65,10.817,10.817,-10.767,0.0,11.38,-1.0
1,3,ARIMA,"(2, 1, 1)","(1, 0, 0, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,872.04,111.861,132.473,-2.129,33.33,12.043,-0.509
2,3,ARIMA,"(3, 1, 0)","(0, 0, 1, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,841.89,54.821,59.876,-1.062,33.33,6.404,-0.495
3,3,ARIMA,"(3, 1, 0)","(2, 1, 0, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,659.95,27.241,39.373,-2.567,33.33,3.633,-1.915
4,3,ARIMA,"(2, 1, 0)","(2, 0, 1, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,881.71,59.852,78.609,-4.586,33.33,6.49,-2.124
5,3,ARIMA,"(3, 1, 0)","(0, 0, 1, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,840.01,30.033,35.112,-0.651,66.67,3.436,-0.55
6,3,ARIMA,"(3, 1, 2)","(2, 0, 0, 12)",62,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,7.14,7.136,12.36,,100.0,,3.0
7,3,ARIMA,"(2, 1, 1)","(1, 0, 1, 12)",62,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,48.31,3.383,4.316,2.085,66.67,12.617,0.875
8,3,ARIMA,"(3, 1, 0)","(0, 0, 0, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,852.41,45.161,53.645,4.216,66.67,5.607,2.291
9,3,ARIMA,"(3, 1, 0)","(0, 1, 0, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,929.39,92.488,107.498,-0.6,33.33,9.284,-0.182
10,3,ARIMA,"(0, 1, 3)","(1, 0, 0, 12)",62,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,48.18,10.027,10.519,11.377,66.67,38.722,1.472
