SKU_ID,Lag_Period,Model,Date,Actual,Forecast,CI_Lower,CI_Upper,Error,Abs_Error
1,1,Holt-Winters,2024-05-31,785.1561058,871.044194824289,752.0706776159311,990.0177120326468,-85.888089024289,85.888089024289
2,1,Holt-Winters,2024-05-31,817.3517658999999,862.3739630760256,732.0608950169374,992.6870311351138,-45.02219717602566,45.02219717602566
3,1,Holt-Winters,2024-05-31,605.121396,667.6228037986001,557.5181219443741,777.7274856528261,-62.5014077986001,62.5014077986001
4,1,Holt-Winters,2024-05-31,898.7700419,975.4369321194749,843.7914265797433,1107.0824376592066,-76.66689021947491,76.66689021947491
5,1,Holt-Winters,2024-05-31,789.5399907,893.6825916535139,788.8024175269743,998.5627657800535,-104.14260095351392,104.14260095351392
6,1,Holt-Winters,2024-05-31,0.0,0.0,0.0,16.180020243872093,0.0,0.0
7,1,Holt-Winters,2024-05-31,0.0,0.0,0.0,20.148313138166998,0.0,0.0
8,1,Holt-Winters,2024-05-31,772.3285901,907.101336113411,794.766811395524,1019.435860831298,-134.77274601341094,134.77274601341094
9,1,Holt-Winters,2024-05-31,763.3987228999999,875.5259670385897,761.3604765773679,989.6914574998115,-112.12724413858973,112.12724413858973
10,1,Holt-Winters,2024-05-31,100.46723784,108.6755701339118,36.4807216524368,180.87041861538682,-8.208332293911809,8.208332293911809
1,3,Holt-Winters,2024-03-31,1068.084289,881.977732445679,768.0868121587123,995.8686527326456,186.10655655432095,186.10655655432095
1,3,Holt-Winters,2024-04-30,819.7981714,890.0827140267402,776.1917937397735,1003.9736343137068,-70.28454262674018,70.28454262674018
1,3,Holt-Winters,2024-05-31,785.1561058,865.5156684108412,751.6247481238745,979.4065886978078,-80.35956261084118,80.35956261084118
2,3,Holt-Winters,2024-03-31,971.7714255,815.4478798029448,686.8718542401755,944.0239053657142,156.32354569705512,156.32354569705512
2,3,Holt-Winters,2024-04-30,763.6624749,822.5141866771006,693.9381611143313,951.09021223987,-58.851711777100604,58.851711777100604
2,3,Holt-Winters,2024-05-31,817.3517658999999,857.4848232181344,728.9087976553649,986.0608487809038,-40.13305731813443,40.13305731813443
3,3,Holt-Winters,2024-03-31,823.5144856000001,718.5722974895543,609.0707706454845,828.0738243336242,104.94218811044573,104.94218811044573
3,3,Holt-Winters,2024-04-30,603.3620255000001,662.4145754242015,552.9130485801317,771.9161022682714,-59.05254992420146,59.05254992420146
3,3,Holt-Winters,2024-05-31,605.121396,665.3151436702535,555.8136168261836,774.8166705143234,-60.193747670253515,60.193747670253515
4,3,Holt-Winters,2024-03-31,1001.0203061,779.0357280877556,652.0577970553777,906.0136591201335,221.98457801224436,221.98457801224436
4,3,Holt-Winters,2024-04-30,872.4965758000001,905.5011502646239,778.523219232246,1032.4790812970018,-33.00457446462383,33.00457446462383
4,3,Holt-Winters,2024-05-31,898.7700419,965.9677115645636,838.9897805321857,1092.9456425969415,-67.19766966456359,67.19766966456359
5,3,Holt-Winters,2024-03-31,962.9258588,839.818233613779,736.2012882214107,943.4351790061472,123.10762518622107,123.10762518622107
5,3,Holt-Winters,2024-04-30,784.1037487,830.407341943405,726.7903965510367,934.0242873357732,-46.303593243404976,46.303593243404976
5,3,Holt-Winters,2024-05-31,789.5399907,889.8078254977121,786.1908801053438,993.4247708900804,-100.26783479771211,100.26783479771211
6,3,Holt-Winters,2024-03-31,0.0,0.0,0.0,31.042200722201983,0.0,0.0
6,3,Holt-Winters,2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0
6,3,Holt-Winters,2024-05-31,0.0,0.0,0.0,6.881432488498348,0.0,0.0
7,3,Holt-Winters,2024-03-31,122.21253328,133.64824644065857,86.55981571456294,180.7366771667542,-11.435713160658565,11.435713160658565
7,3,Holt-Winters,2024-04-30,19.764062374,32.74264634543714,0.0,79.83107707153277,-12.978583971437136,12.978583971437136
7,3,Holt-Winters,2024-05-31,0.0,0.0,0.0,21.700310562756695,0.0,0.0
8,3,Holt-Winters,2024-03-31,931.0711549,817.3143558586287,707.5122304222418,927.1164812950155,113.75679904137132,113.75679904137132
8,3,Holt-Winters,2024-04-30,750.400746,867.5251013912641,757.7229759548773,977.327226827651,-117.12435539126409,117.12435539126409
8,3,Holt-Winters,2024-05-31,772.3285901,907.217313798778,797.4151883623912,1017.0194392351649,-134.888723698778,134.888723698778
9,3,Holt-Winters,2024-03-31,1166.2357165,1022.3914969245284,909.9314911557746,1134.8515026932823,143.8442195754717,143.8442195754717
9,3,Holt-Winters,2024-04-30,875.3614095,919.9283353761512,807.4683296073973,1032.388341144905,-44.56692587615112,44.56692587615112
9,3,Holt-Winters,2024-05-31,763.3987228999999,870.5825686828085,758.1225629140547,983.0425744515624,-107.18384578280859,107.18384578280859
10,3,Holt-Winters,2024-03-31,13.3629899,0.0,0.0,30.15822159058851,13.3629899,13.3629899
10,3,Holt-Winters,2024-04-30,15.935133616,0.5911313074059894,0.0,73.1689512118666,15.34400230859401,15.34400230859401
10,3,Holt-Winters,2024-05-31,100.46723784,105.10321543649398,32.52539553203337,177.6810353409546,-4.635977596493987,4.635977596493987
1,6,Holt-Winters,2023-12-31,852.1713341,687.1864011614375,577.4710809444655,796.9017213784095,164.98493293856245,164.98493293856245
1,6,Holt-Winters,2024-01-31,721.7800454000001,857.378680181647,747.663359964675,967.0940003986191,-135.59863478164698,135.59863478164698
1,6,Holt-Winters,2024-02-29,805.6296277,808.0383042864523,698.3229840694803,917.7536245034244,-2.408676586452316,2.408676586452316
1,6,Holt-Winters,2024-03-31,1068.084289,837.6326553795213,727.9173351625493,947.3479755964934,230.45163362047856,230.45163362047856
1,6,Holt-Winters,2024-04-30,819.7981714,1020.4742587192311,910.7589385022591,1130.1895789362031,-200.6760873192311,200.6760873192311
1,6,Holt-Winters,2024-05-31,785.1561058,771.3852508446031,661.669930627631,881.1005710615752,13.770854955396885,13.770854955396885
2,6,Holt-Winters,2023-12-31,1038.023498,802.7461980206425,682.9322435391086,922.5601525021764,235.2772999793575,235.2772999793575
2,6,Holt-Winters,2024-01-31,716.257886,870.2524515691566,750.4384970876227,990.0664060506905,-153.99456556915663,153.99456556915663
2,6,Holt-Winters,2024-02-29,813.968407,764.0221462973677,644.2081918158339,883.8361007789016,49.94626070263223,49.94626070263223
2,6,Holt-Winters,2024-03-31,971.7714255,810.7817228432463,690.9677683617124,930.5956773247801,160.9897026567537,160.9897026567537
2,6,Holt-Winters,2024-04-30,763.6624749,817.8477252114369,698.033770729903,937.6616796929708,-54.1852503114369,54.1852503114369
2,6,Holt-Winters,2024-05-31,817.3517658999999,852.8159909470388,733.002036465505,972.6299454285727,-35.464225047038894,35.464225047038894
3,6,Holt-Winters,2023-12-31,1151.7833992,981.6766717330909,877.3289510630507,1086.024392403131,170.1067274669092,170.1067274669092
3,6,Holt-Winters,2024-01-31,845.1081423,973.6289948669448,869.2812741969046,1077.976715536985,-128.52085256694477,128.52085256694477
3,6,Holt-Winters,2024-02-29,750.5984798,773.0445060700904,668.6967854000502,877.3922267401306,-22.446026270090442,22.446026270090442
3,6,Holt-Winters,2024-03-31,823.5144856000001,719.4064521766524,615.0587315066122,823.7541728466925,104.1080334233477,104.1080334233477
3,6,Holt-Winters,2024-04-30,603.3620255000001,663.2452547737785,558.8975341037383,767.5929754438187,-59.8832292737784,59.8832292737784
3,6,Holt-Winters,2024-05-31,605.121396,666.1449198601447,561.7971991901045,770.4926405301849,-61.02352386014468,61.02352386014468
4,6,Holt-Winters,2023-12-31,1044.0805252,839.5081603760229,717.5377302501275,961.4785905019183,204.57236482397707,204.57236482397707
4,6,Holt-Winters,2024-01-31,709.6264595,824.020464571186,702.0500344452906,945.9908946970814,-114.39400507118603,114.39400507118603
4,6,Holt-Winters,2024-02-29,693.8584719,722.6157349186797,600.6453047927843,844.5861650445751,-28.757263018679623,28.757263018679623
4,6,Holt-Winters,2024-03-31,1001.0203061,777.9530345963763,655.9826044704809,899.9234647222717,223.06727150362372,223.06727150362372
4,6,Holt-Winters,2024-04-30,872.4965758000001,904.4042871947817,782.4338570688863,1026.374717320677,-31.907711394781586,31.907711394781586
4,6,Holt-Winters,2024-05-31,898.7700419,964.8582788033772,842.8878486774818,1086.8287089292726,-66.08823690337715,66.08823690337715
5,6,Holt-Winters,2023-12-31,944.3963242,818.8566433402488,718.6162862146849,919.0970004658126,125.53968085975123,125.53968085975123
5,6,Holt-Winters,2024-01-31,747.7729711,876.9395359955627,776.6991788699988,977.1798931211265,-129.16656489556271,129.16656489556271
5,6,Holt-Winters,2024-02-29,769.6011282,794.8661270274698,694.625769901906,895.1064841530336,-25.264998827469867,25.264998827469867
5,6,Holt-Winters,2024-03-31,962.9258588,842.8626519156003,742.6222947900364,943.1030090411641,120.06320688439973,120.06320688439973
5,6,Holt-Winters,2024-04-30,784.1037487,833.4430901261134,733.2027330005495,933.6834472516772,-49.33934142611338,49.33934142611338
5,6,Holt-Winters,2024-05-31,789.5399907,892.8325612193821,792.5922040938183,993.072918344946,-103.29257051938214,103.29257051938214
6,6,Holt-Winters,2023-12-31,151.659987179,185.15257479000525,106.20128942793711,264.10386015207337,-33.492587611005234,33.492587611005234
6,6,Holt-Winters,2024-01-31,17.441977154,109.1775495159584,30.22626415389027,188.12883487802654,-91.7355723619584,91.7355723619584
6,6,Holt-Winters,2024-02-29,30.602927432999998,0.0,0.0,25.556531855529045,30.602927432999998,30.602927432999998
6,6,Holt-Winters,2024-03-31,0.0,0.0,0.0,30.934571743900435,0.0,0.0
6,6,Holt-Winters,2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Holt-Winters,2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Holt-Winters,2023-12-31,1.411409504,0.0,0.0,30.77020351327571,1.411409504,1.411409504
7,6,Holt-Winters,2024-01-31,24.867678659,52.41391462649533,4.729758090267346,100.0980711627233,-27.546235967495328,27.546235967495328
7,6,Holt-Winters,2024-02-29,105.09981122,84.51732033644113,36.83316380021315,132.2014768726691,20.582490883558876,20.582490883558876
7,6,Holt-Winters,2024-03-31,122.21253328,132.02925503197275,84.34509849574476,179.71341156820074,-9.81672175197275,9.81672175197275
7,6,Holt-Winters,2024-04-30,19.764062374,31.723059881915127,0.0,79.40721641814311,-11.958997507915125,11.958997507915125
7,6,Holt-Winters,2024-05-31,0.0,0.0,0.0,21.491804663168857,0.0,0.0
8,6,Holt-Winters,2023-12-31,975.1431503,797.5959301451212,693.0147084878187,902.1771518024237,177.5472201548788,177.5472201548788
8,6,Holt-Winters,2024-01-31,775.4086244,891.5749174542634,786.9936957969609,996.156139111566,-116.1662930542634,116.1662930542634
8,6,Holt-Winters,2024-02-29,758.2221809,797.9674401632608,693.3862185059583,902.5486618205633,-39.74525926326078,39.74525926326078
8,6,Holt-Winters,2024-03-31,931.0711549,818.1197804030527,713.5385587457502,922.7010020603552,112.95137449694732,112.95137449694732
8,6,Holt-Winters,2024-04-30,750.400746,868.3100021551454,763.7287804978429,972.891223812448,-117.90925615514539,117.90925615514539
8,6,Holt-Winters,2024-05-31,772.3285901,907.9921175523131,803.4108958950105,1012.5733392096156,-135.66352745231302,135.66352745231302
9,6,Holt-Winters,2023-12-31,1120.8301724,944.7501721797455,821.9400487333596,1067.5602956261314,176.08000022025453,176.08000022025453
9,6,Holt-Winters,2024-01-31,966.8872371,1098.7533414338625,975.9432179874766,1221.5634648802484,-131.8661043338625,131.8661043338625
9,6,Holt-Winters,2024-02-29,979.225859,970.2990324719517,847.4889090255658,1093.1091559183376,8.92682652804831,8.92682652804831
9,6,Holt-Winters,2024-03-31,1166.2357165,998.1476725188656,875.3375490724798,1120.9577959652515,168.08804398113443,168.08804398113443
9,6,Holt-Winters,2024-04-30,875.3614095,862.4597255489297,739.6496021025438,985.2698489953156,12.901683951070368,12.901683951070368
9,6,Holt-Winters,2024-05-31,763.3987228999999,900.4538090485955,777.6436856022096,1023.2639324949814,-137.0550861485956,137.0550861485956
