SKU_ID,Lag_Period,Model,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal
1,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,772.6,12.553,12.553,-1.599,0.0,1.612,-1.0
2,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,796.09,21.261,21.261,-2.601,0.0,2.636,-1.0
3,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,598.96,6.163,6.163,-1.018,0.0,1.024,-1.0
4,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,790.76,108.012,108.012,-12.018,0.0,12.786,-1.0
5,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,797.69,8.155,8.155,1.033,100.0,1.028,1.0
6,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,41.45,41.451,41.451,,100.0,,1.0
7,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,74.58,74.577,74.577,,100.0,,1.0
8,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,803.21,30.884,30.884,3.999,100.0,3.92,1.0
9,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,725.02,38.378,38.378,-5.027,0.0,5.157,-1.0
10,1,LightGBM,61,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,124.08,23.618,23.618,23.508,100.0,21.035,1.0
1,3,LightGBM,59,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,815.09,83.955,138.553,-8.521,66.67,8.926,-2.713
2,3,LightGBM,59,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,772.3,84.387,118.171,-9.24,33.33,9.889,-2.795
3,3,LightGBM,59,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,668.0,50.162,54.521,-1.378,33.33,7.27,-0.558
4,3,LightGBM,59,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,784.34,139.756,150.861,-15.124,0.0,16.173,-3.0
