SKU_ID,Lag_Period,Model,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal
1,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,940.92,155.767,155.767,19.839,100.0,18.049,1.0
2,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,922.69,105.339,105.339,12.888,100.0,12.108,1.0
3,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,713.31,108.187,108.187,17.879,100.0,16.411,1.0
4,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,1053.41,154.638,154.638,17.205,100.0,15.843,1.0
5,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,964.59,175.052,175.052,22.171,100.0,19.959,1.0
6,1,Prophet,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,-55.8,55.802,55.802,,0.0,,-1.0
7,1,Prophet,64,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,-24.35,24.351,24.351,,0.0,,-1.0
8,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,990.79,218.458,218.458,28.286,100.0,24.781,1.0
9,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,938.12,174.724,174.724,22.888,100.0,20.537,1.0
10,1,Prophet,64,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,170.27,69.806,69.806,69.481,100.0,51.567,1.0
1,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,905.48,97.396,115.418,1.624,66.67,10.622,0.446
2,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,841.84,89.987,105.662,-1.068,66.67,10.245,-0.303
3,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,684.09,73.098,85.062,0.998,66.67,10.393,0.277
4,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,894.92,132.98,158.112,-3.157,33.33,14.458,-0.658
5,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,860.3,102.16,122.68,1.748,33.33,11.572,0.434
6,3,Prophet,62,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,-103.47,103.468,115.327,,0.0,,-3.0
7,3,Prophet,62,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,33.5,13.824,16.612,-10.956,0.0,44.924,-3.0
8,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,880.89,159.79,165.169,7.697,66.67,18.679,1.182
9,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,937.22,114.521,129.948,0.238,33.33,12.231,0.058
10,3,Prophet,62,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,22.49,62.305,70.579,-48.0,33.33,149.114,-1.0
1,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,842.1,845.81,72.524,89.787,0.44,50.0,8.34,0.307
2,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,853.51,837.59,105.531,116.226,-1.865,50.0,12.223,-0.905
3,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,796.58,802.31,63.388,74.188,0.72,66.67,7.99,0.543
4,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,869.98,856.33,108.087,129.076,-1.568,50.0,12.149,-0.757
5,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,833.06,849.66,78.559,97.593,1.993,50.0,9.078,1.268
6,6,Prophet,59,6,2023-12,2023-12,2024-05,6,3,50.0,33.28,0.12,86.273,95.031,33.676,33.33,123.754,-2.307
7,6,Prophet,59,6,2023-12,2023-12,2024-05,6,1,16.67,45.56,31.38,17.173,19.68,-20.318,16.67,77.026,-4.953
8,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,827.1,853.03,118.232,133.27,3.135,66.67,13.779,1.316
9,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,978.66,970.73,84.583,102.122,-0.81,33.33,8.753,-0.562
10,6,Prophet,59,6,2023-12,2023-12,2024-05,6,0,0.0,55.04,18.51,56.518,72.061,-66.378,33.33,111.301,-3.879
1,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,843.77,822.77,75.697,95.003,-2.489,50.0,8.808,-3.329
2,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,839.98,804.37,103.197,119.128,-4.24,41.67,12.142,-4.141
3,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,842.87,828.64,70.714,86.538,-1.688,58.33,8.586,-2.414
4,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,861.15,826.1,104.022,117.302,-4.07,41.67,12.091,-4.043
5,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,840.95,816.94,85.815,106.4,-2.856,41.67,9.99,-3.359
6,12,Prophet,54,12,2023-06,2023-07,2024-06,12,4,33.33,102.97,94.29,64.507,75.277,13.223,41.67,62.916,-1.615
7,12,Prophet,54,12,2023-06,2023-07,2024-06,12,2,16.67,59.27,28.15,36.358,44.296,-31.221,16.67,87.2,-10.272
8,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,835.6,831.08,99.366,117.387,-0.54,58.33,11.602,-0.545
9,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,849.24,816.16,79.867,96.788,-3.895,33.33,9.591,-4.97
10,12,Prophet,54,12,2023-06,2023-07,2024-06,12,0,0.0,58.4,10.67,59.596,70.834,-81.72,16.67,136.399,-9.609
