SKU_ID,Lag_Period,Model,Train_Months,Test_Months,Train_End,Forecast_Start,Forecast_End,Total_Periods,Zero_Sales_Count,Zero_Sales_%,Mean_Actual,Mean_Forecast,MAE,RMSE,Bias_%,Service_Level_%,SMAPE,Tracking_Signal
1,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,785.16,906.07,120.916,120.916,15.4,100.0,14.299,1.0
2,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,817.35,898.76,81.407,81.407,9.96,100.0,9.487,1.0
3,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,605.12,624.88,19.758,19.758,3.265,100.0,3.213,1.0
4,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,898.77,791.8,106.972,106.972,-11.902,0.0,12.655,-1.0
5,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,789.54,749.97,39.57,39.57,-5.012,0.0,5.141,-1.0
6,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,0.0,0.0,0.0,,100.0,,
7,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,1,100.0,0.0,5.15,5.152,5.152,,100.0,,1.0
8,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,772.33,802.44,30.111,30.111,3.899,100.0,3.824,1.0
9,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,763.4,855.23,91.828,91.828,12.029,100.0,11.346,1.0
10,1,XGBoost,61,1,2024-05,2024-05,2024-05,1,0,0.0,100.47,80.59,19.882,19.882,-19.789,0.0,21.962,-1.0
1,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,891.01,819.6,101.623,111.886,-8.015,33.33,11.578,-2.108
2,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,850.93,706.53,144.397,165.923,-16.969,0.0,17.993,-3.0
3,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,677.33,678.37,37.243,39.646,0.153,66.67,5.363,0.083
4,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,924.1,842.51,96.418,111.734,-8.829,33.33,10.852,-2.538
5,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,845.52,770.42,75.104,87.118,-8.883,0.0,8.996,-3.0
6,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,3,100.0,0.0,5.77,5.766,8.981,,100.0,,3.0
7,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,1,33.33,47.33,65.39,30.077,38.209,31.694,66.67,69.407,1.802
8,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,817.93,757.29,60.987,84.789,-7.414,33.33,7.323,-2.983
9,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,935.0,864.26,163.429,202.172,-7.566,33.33,17.377,-1.299
10,3,XGBoost,59,3,2024-03,2024-03,2024-05,3,0,0.0,43.26,88.36,45.109,49.549,104.285,100.0,94.198,3.0
1,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,842.1,851.59,84.792,95.522,1.126,50.0,9.958,0.671
2,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,853.51,767.25,127.248,151.119,-10.106,16.67,15.224,-4.067
3,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,796.58,779.86,119.063,159.934,-2.099,66.67,13.684,-0.843
4,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,869.98,829.21,158.099,187.517,-4.686,33.33,18.716,-1.547
5,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,833.06,805.11,73.892,99.598,-3.355,33.33,8.91,-2.27
6,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,3,50.0,33.28,61.6,31.131,46.525,75.207,83.33,70.79,5.458
7,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,1,16.67,45.56,96.65,51.088,60.92,101.055,100.0,97.621,6.0
8,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,827.1,760.88,88.454,124.491,-8.006,16.67,10.745,-4.491
9,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,978.66,886.16,131.152,159.988,-9.451,33.33,13.641,-4.231
10,6,XGBoost,56,6,2023-12,2023-12,2024-05,6,0,0.0,55.04,94.13,49.614,55.039,71.014,83.33,96.88,4.727
1,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,843.77,782.27,80.477,116.886,-7.289,16.67,9.471,-9.17
2,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,839.98,778.35,97.076,119.755,-7.338,33.33,11.497,-7.619
3,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,842.87,787.37,92.554,135.097,-6.585,50.0,10.818,-7.196
4,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,861.15,782.19,144.384,168.959,-9.169,33.33,17.328,-6.562
5,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,840.95,758.3,89.477,118.044,-9.829,8.33,10.774,-11.085
6,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,4,33.33,102.97,126.24,43.862,57.948,19.854,66.67,55.683,6.366
7,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,2,16.67,59.27,107.91,49.766,58.442,65.449,91.67,78.717,11.729
8,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,835.6,733.73,107.092,134.018,-12.191,8.33,13.085,-11.414
9,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,849.24,753.91,111.544,140.882,-11.224,25.0,13.637,-10.255
10,12,XGBoost,51,12,2023-06,2023-07,2024-06,12,0,0.0,58.4,121.71,68.816,76.89,108.421,91.67,96.755,11.041
